assunto,app/device,interface,modelo,problema,solucao
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,COLETOR,SMQ,COLETOR NÃO LIGA,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,COLETOR,SMQ,COLETOR TRAVADO,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,COLETOR,SMQ,ALERTA DE RUIDO OU AUSENCIA DE SINAL,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,COLETOR,SMQ,ALERTA DE OVERLOAD,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,COLETOR,SMQ,ALERTA DE UNDERLOAD,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,COLETOR,SMQ,FALHA NO TECLADO DE MEMBRANA,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,COLETOR,SMQ,PROBLEMA NA CONEXÃO INTERNET VIA WIFI,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,COLETOR,SMQ,PROBLEMA NA CONEXÃO INTERNET VIA USB,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,COLETOR,SMQ,NÃO ESTA SALVANDO AS MEDIÇOES,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,CAMERA TERMOGRÁFICA,FLUKE TI-10,EQUIPAMENTO NÃO LIGA,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,CAMERA TERMOGRÁFICA,FLUKE TI-10,IMAGEM DESFOCADA,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,CAMERA TERMOGRÁFICA,FLUKE TI-10,TERMOGRAMA PRETO,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,CAMERA TERMOGRÁFICA,FLUKE TI-10,NÃO SALVA O TERMOGRAMA,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,CAMERA TERMOGRÁFICA,FLUKE TI-10,NÃO CARREGA A BATERIA,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,CAMERA TERMOGRÁFICA,FLUKE TI-10,CAMERA LIGA MAS NÃO FUNCIONA CORRETAMENTE,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,CAMERA TERMOGRÁFICA,FLUKE TI-10,CAMERA EMBAÇADA OU VIDEOS LAVADOS,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,CAMERA TERMOGRÁFICA,FLUKE TI-10,CAMERA NÃO SE CONECTA NO USB,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,CAMERA TERMOGRÁFICA,FLUKE TI-10,CAMERA NÃO SEGURA CARGA,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,CAMERA TERMOGRÁFICA,FLIR,EQUIPAMENTO NÃO LIGA,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,CAMERA TERMOGRÁFICA,FLIR,IMAGEM DESFOCADA,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,CAMERA TERMOGRÁFICA,FLIR,TERMOGRAMA PRETO,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,CAMERA TERMOGRÁFICA,FLIR,NÃO SALVA O TERMOGRAMA,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,CAMERA TERMOGRÁFICA,FLIR,NÃO CARREGA A BATERIA,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,CAMERA TERMOGRÁFICA,FLIR,CAMERA LIGA MAS NÃO FUNCIONA CORRETAMENTE,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,CAMERA TERMOGRÁFICA,FLIR,CAMERA EMBAÇADA OU VIDEOS LAVADOS,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,CAMERA TERMOGRÁFICA,FLIR,CAMERA NÃO SE CONECTA NO USB,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,CAMERA TERMOGRÁFICA,FLIR,CAMERA NÃO SEGURA CARGA,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,MTE,SMQ945,BATERIA BAIXA,procedimentos...
COLETA PERIODICA OFF LINE,SISTEMA ONLINE,MTE,SMQ945,NÃO LÊ CORRENTE,procedimentos...
INFRAESTRTURA,Link,TELEFONICA BANDA LARGA,120MB,120_LINK DOWN,procedimentos...
INFRAESTRTURA,Link,TELEFONICA BANDA LARGA,120MB,120_PERDA DE PACOTE / LENTIDÃO,procedimentos...
INFRAESTRTURA,Link,TELEFONICA DEDICADO,30MB,120_LINK DOWN,procedimentos...
INFRAESTRTURA,Link,TELEFONICA DEDICADO,30MB,120_PERDA DE PACOTE / LENTIDÃO,procedimentos...
INFRAESTRTURA,Link,ALGAR DEDICADO,40MB,120_LINK DOWN,procedimentos...
INFRAESTRTURA,Link,ALGAR DEDICADO,40MB,120_PERDA DE PACOTE / LENTIDÃO,procedimentos...
INFRAESTRTURA,VPN,SABESP,TUNEL1,SEM COMUNICAÇÃO,procedimentos...
INFRAESTRTURA,VPN,SABESP,TUNEL2,SEM COMUNICAÇÃO,procedimentos...
INFRAESTRTURA,VPN,AMBEV EUROPA,TUNEL1,SEM COMUNICAÇÃO,procedimentos...
INFRAESTRTURA,VPN,AMBEV EUROPA,TUNEL2,SEM COMUNICAÇÃO,procedimentos...
INFRAESTRTURA,VPN,ONLINE SAZ,TUNEL1,SEM COMUNICAÇÃO,procedimentos...
